yahoo_ticker,last_price,last_date,ret_short,ret_month,ret_quarter,ret_year,vol_20d,ma_20,pct_above_ma_20,above_ma_20,ma_50,pct_above_ma_50,above_ma_50,ma_200,pct_above_ma_200,above_ma_200,near_20d_high,new_20d_high,drawdown_from_20d_high,near_60d_high,new_60d_high,drawdown_from_60d_high,near_252d_high,new_252d_high,drawdown_from_252d_high,ret_month_10d_ago,rank_ret_short,rank_ret_month,rank_ret_quarter,rank_ret_year,rank_vol_20d,rank_month_10d_ago,momentum_score,rank_jump,breakout_bonus,trend_bonus,emerging_score,overextended,ticker,name,exchange,currency,asset_class,theme,include
SGLN.L,6595.451171875,2026-08-25,0.042264723747629684,0.11334422212609718,0.02877104537123687,0.3526355971851929,0.2220102851424745,6182.47255859375,0.0667982929753892,True,6054.5090234375,0.08934533689576951,True,6515.712255859375,0.012237943126466089,True,True,True,0.0,True,True,0.0,False,False,-0.1423340478706112,0.05228537696070168,1.0,0.95,0.7,0.7,0.65,0.7,0.7949999999999999,0.25,0.6666666666666666,1.0,0.6124999999999999,False,SGLN,iShares Physical Gold ETC,LSE,GBP,Commodity ETC,Gold,1
ISF.L,1065.199951171875,2026-08-25,0.01602434792692975,0.018355593854564978,0.03030235765554723,0.16617143584152583,0.05448161558055019,1057.509991455078,0.007271760814492101,True,1039.6188427734376,0.024606237734392744,True,1007.6444140625,0.05711889661287306,True,True,True,0.0,True,True,0.0,True,False,-0.002075303070069312,0.03458384648143298,0.85,0.65,0.75,0.3,0.15,0.55,0.67,0.09999999999999998,0.6666666666666666,1.0,0.5,False,ISF,iShares Core FTSE 100 UCITS ETF,LSE,GBP,Equity ETF,UK large cap,1
IUFS.L,17.2305908203125,2026-08-25,0.00645969483983122,0.033628718743424546,0.13658251937607058,0.10878963079855009,0.11381374201290888,17.044654655456544,0.010908766919277557,True,16.62071195602417,0.036693907330923814,True,15.696227974891663,0.09775360346927098,True,True,True,0.0,True,True,0.0,True,True,0.0,0.04288320564500925,0.65,0.7,1.0,0.25,0.3,0.6,0.705,0.09999999999999998,1.0,1.0,0.49,False,IUFS,iShares S&P 500 Financials Sector UCITS ETF,LSE,GBP,Equity ETF,US financials,1
PHAG.L,62.024410247802734,2026-08-25,0.024942755901481428,0.15911814975414051,-0.08639842678714271,0.7608066127631059,0.4172713020253308,57.3179708480835,0.08211106098283305,True,55.9686882019043,0.10819839164449796,True,65.19954704284667,-0.04869875542168045,False,False,False,-0.017824089483432615,False,False,-0.10265613739620649,False,False,-0.4020014508501346,0.0797647521551006,0.95,1.0,0.1,0.95,0.95,0.85,0.6200000000000001,0.15000000000000002,0.0,0.6666666666666666,0.41916666666666663,False,PHAG,WisdomTree Physical Silver,LSE,GBP,Commodity ETC,Silver,1
CMOD.L,34.502498626708984,2026-08-25,0.020935064243140067,0.035411519682281956,0.03665582096477071,0.42337041883220383,0.1506179265669128,33.219624519348145,0.0386179592913114,True,32.193949661254884,0.07170754100520993,True,30.698149938583374,0.12392762090669396,True,False,False,-0.008477677375334891,False,False,-0.008477677375334891,False,False,-0.021483259525897802,0.06398464431021567,0.9,0.75,0.8,0.75,0.4,0.8,0.7550000000000001,-0.050000000000000044,0.0,1.0,0.34750000000000003,False,CMOD,Invesco Bloomberg Commodity UCITS ETF,LSE,GBP,Commodity ETF,Broad commodities,1
IUES.L,13.274999618530273,2026-08-25,0.012199759832589585,0.05148511829942759,0.11227475088405647,0.47664070706412787,0.22697045132889548,12.772249984741212,0.039362652186551994,True,12.101099987030029,0.09700767969510471,True,11.317700023651122,0.17294146255766552,True,False,False,-0.024972468476212595,False,False,-0.024972468476212595,False,False,-0.024972468476212595,0.09598607136196757,0.75,0.85,0.95,0.85,0.75,0.9,0.7849999999999999,-0.050000000000000044,0.0,1.0,0.3025,False,IUES,iShares S&P 500 Energy Sector UCITS ETF,LSE,GBP,Equity ETF,US energy,1
COPA.L,56.959999084472656,2026-08-25,0.0,0.04150668339302288,0.03884729495324546,0.43403820075371957,0.16651190255837556,56.4527494430542,0.008985384173894495,True,55.09949989318848,0.03376617201409804,True,51.77402503967285,0.10016555677921413,True,False,False,-0.01299601476170864,False,False,-0.015384605239818216,False,False,-0.015384605239818216,0.05912879669318438,0.55,0.8,0.85,0.8,0.5,0.75,0.7150000000000001,0.050000000000000044,0.0,1.0,0.28750000000000003,False,COPA,Global X Copper Miners UCITS ETF,LSE,GBP,Equity ETF,Copper miners,1
VWRP.L,142.05999755859375,2026-08-25,-0.0166136580626578,0.01384529338431495,0.010527782815920483,0.21108264162542922,0.10497165286141472,142.58000106811522,-0.0036470999132133253,False,141.81279998779297,0.00174312594365289,True,132.98939990997314,0.06820541828717874,True,False,False,-0.020005580994471694,False,False,-0.020005580994471694,False,False,-0.020005580994471694,0.015965031114736794,0.45,0.55,0.6,0.45,0.25,0.4,0.51,0.15000000000000002,0.0,0.6666666666666666,0.26916666666666667,False,VWRP,Vanguard FTSE All-World UCITS ETF,LSE,GBP,Equity ETF,Global equities,1
IBTG.L,4.679599761962891,2026-08-25,-0.0005660229403252615,0.004852844491803898,0.006581973114959894,0.026140471562174472,0.014118875446211075,4.673617506027222,0.0012800054621402435,True,4.664327001571655,0.0032743760002438282,True,4.642139058113099,0.008069707387227343,True,True,False,-0.0007794135450160944,True,False,-0.0007794135450160944,True,False,-0.0007794135450160944,0.0019304642166046992,0.5,0.3,0.5,0.1,0.05,0.3,0.375,0.0,0.0,1.0,0.25,False,IBTG,iShares Treasury Bond 1-3yr UCITS ETF,LSE,GBP,Bond ETF,Short US treasuries,1
UKDV.L,13.814000129699707,2026-08-25,0.008468402384561813,0.009942950364802305,0.08634795224008474,0.18643175283084434,0.0946949314355837,13.792850017547607,0.0015334113055092136,True,13.429320011138916,0.028644794989003186,True,12.47781464099884,0.10708489644576935,True,False,False,-0.0091809106173526,False,False,-0.0091809106173526,False,False,-0.0091809106173526,0.043589748015659735,0.7,0.5,0.9,0.35,0.2,0.65,0.625,-0.15000000000000002,0.0,1.0,0.24249999999999997,False,UKDV,SPDR S&P UK Dividend Aristocrats UCITS ETF,LSE,GBP,Equity ETF,UK dividend,1
IJPN.L,1828.5,2026-08-25,-0.03940110323089041,0.014143094841930104,0.01619672345125034,0.21393610426687704,0.18371865451445754,1843.275,-0.008015624364243079,False,1843.644521484375,-0.008214447691999527,False,1725.4170532226562,0.05974378576171491,True,False,False,-0.043171114599686033,False,False,-0.05423012940991734,False,False,-0.12626630696317898,0.002230586529725187,0.2,0.6,0.65,0.5,0.55,0.35,0.47000000000000003,0.25,0.0,0.3333333333333333,0.2058333333333333,False,IJPN,iShares MSCI Japan UCITS ETF,LSE,GBP,Equity ETF,Japan,1
IGLT.L,9.582500457763672,2026-08-25,0.0002610160832496877,0.0,-0.0057068070132245685,0.02144977639984802,0.04892525984477781,9.617875099182129,-0.0036780100649742575,False,9.648900012969971,-0.006881567341048722,False,9.654616570472717,-0.007469598837265279,False,False,False,-0.010327852205250565,False,False,-0.019943716878654927,False,False,-0.035072143577863146,-0.004653575588304593,0.6,0.25,0.4,0.05,0.1,0.2,0.33499999999999996,0.04999999999999999,0.0,0.0,0.20249999999999999,False,IGLT,iShares Core UK Gilts UCITS ETF,LSE,GBP,Bond ETF,UK gilts,1
EQQQ.L,52303.0,2026-08-25,-0.03812343681035746,0.006775615483821218,-0.039071300985138,0.23703672565492773,0.18687343457083164,52886.7,-0.011036801312995448,False,53523.46,-0.022802337517043858,False,48972.7944140625,0.06800113462549806,True,False,False,-0.03939538642374374,False,False,-0.06801496792587314,False,False,-0.06801496792587314,-0.011455239711497645,0.25,0.35,0.25,0.6,0.6,0.15,0.265,0.19999999999999998,0.0,0.3333333333333333,0.1983333333333333,False,EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,LSE,GBP,Equity ETF,Nasdaq/technology,1
VUSA.L,106.66000366210938,2026-08-25,-0.018925151335244972,0.008319199215047979,0.007041875090312288,0.19322955697315347,0.12270784103861744,107.5390007019043,-0.00817375123497277,False,106.78252700805665,-0.001147410062116494,False,100.09027030944824,0.06563808182703013,True,False,False,-0.024354532892078007,False,False,-0.024354532892078007,False,False,-0.024354532892078007,0.01904963893825018,0.4,0.4,0.55,0.4,0.35,0.45,0.4100000000000001,-0.04999999999999999,0.0,0.3333333333333333,0.13083333333333333,False,VUSA,Vanguard S&P 500 UCITS ETF,LSE,GBP,Equity ETF,US large cap,1
CRUD.L,15.057000160217285,2026-08-25,0.015580732717242363,0.008573933970781322,0.004134729918731983,0.5779711223173787,0.3968428651115735,14.528799915313721,0.03635539397488907,True,13.871559925079346,0.08545832203014903,True,12.36392749786377,0.21781692450225232,True,False,False,-0.027545411553579813,False,False,-0.049611830545387536,False,False,-0.0971938712785515,0.12622299212607757,0.8,0.45,0.45,0.9,0.9,0.95,0.47500000000000003,-0.49999999999999994,0.0,1.0,0.11500000000000002,False,CRUD,WisdomTree WTI Crude Oil,LSE,GBP,Commodity ETC,Oil,1
INRG.L,743.75,2026-08-25,-0.03596889176928064,-0.045250320924261844,-0.24968474148802022,0.21938515793637547,0.2265345088577961,764.2625,-0.02683960026823251,False,813.62,-0.08587547012118679,False,803.5552362060547,-0.07442579366220314,False,False,False,-0.057351077313054555,False,False,-0.2603182496270512,False,False,-0.2603182496270512,-0.0671120558761008,0.3,0.1,0.05,0.55,0.7,0.1,0.10000000000000002,0.0,0.0,0.0,0.09,False,INRG,iShares Global Clean Energy UCITS ETF,LSE,GBP,Equity ETF,Clean energy,1
CHIP.L,11.484000205993652,2026-08-25,-0.03104961383513294,-0.013232457017664068,-0.0615347087326622,0.08534163594482291,0.16065727988827047,11.706599950790405,-0.019014892943507777,False,11.858959999084473,-0.031618269487355355,False,11.825604982376099,-0.028886875292346237,False,False,False,-0.04060150795266371,False,False,-0.08142694455698118,False,False,-0.09367842832419604,-0.0014257127363991318,0.35,0.15,0.2,0.15,0.45,0.25,0.16,-0.1,0.0,0.0,0.05999999999999999,False,CHIP,HSBC Nasdaq Global Semiconductor UCITS ETF,LSE,GBP,Equity ETF,Semiconductors,1
SMGB.L,75.94999694824219,2026-08-25,-0.08856359919174017,-0.05792614288316722,-0.06222991787214216,1.1243269663816888,0.4475057505214542,78.37700004577637,-0.030965756486171725,False,82.84,-0.08317241733169745,False,63.18458763122558,0.2020335938808595,True,False,False,-0.08856359919174017,False,False,-0.1936511839938725,False,False,-0.1936511839938725,-0.07118648451246345,0.05,0.05,0.15,1.0,1.0,0.05,0.07500000000000001,0.0,0.0,0.3333333333333333,0.04833333333333333,False,SMGB,VanEck Semiconductor UCITS ETF,LSE,GBP,Equity ETF,Semiconductors,1
DFNS.L,63.540000915527344,2026-08-25,-0.06531336013759392,0.05163857731107391,-0.007652629597237559,0.09363171401509307,0.2961795875356436,64.4519998550415,-0.014150048742712862,False,61.163799896240235,0.038849793886549744,True,64.81029991149903,-0.01960026412015259,False,False,False,-0.06600026377092838,False,False,-0.06600026377092838,False,False,-0.1497390865615159,0.15099175932756426,0.1,0.9,0.35,0.2,0.85,1.0,0.42,-0.09999999999999998,0.0,0.3333333333333333,0.01833333333333334,False,DFNS,VanEck Defense UCITS ETF,LSE,GBP,Equity ETF,Defence,1
IITU.L,3652.0,2026-08-25,-0.051674889639054755,-0.0016402405686167798,-0.017487220877051346,0.29228591648973823,0.2414641002999245,3730.35,-0.021003391102711544,False,3706.46,-0.014693265271984557,False,3317.2975,0.10089613608667891,True,False,False,-0.055598655288337184,False,False,-0.08102667337695013,False,False,-0.08102667337695013,0.024468943264318366,0.15,0.2,0.3,0.65,0.8,0.5,0.185,-0.3,0.0,0.3333333333333333,-0.05666666666666668,False,IITU,iShares S&P 500 Information Technology Sector UCITS ETF,LSE,GBP,Equity ETF,US technology,1
