theme,instruments,avg_momentum,avg_emerging,top_1m_return,new_60d_highs
Defence,1,0.575,0.6816666666666666,0.08157713580138726,0
UK large cap,1,0.6549999999999999,0.515,0.03528713833963204,1
UK dividend,1,0.845,0.49,0.07557695673461429,1
Gold,1,0.405,0.39749999999999996,0.0001698658060131919,0
US financials,1,0.7250000000000001,0.39249999999999996,0.06224462379211504,1
US energy,1,0.68,0.3474999999999999,0.09348695785917216,0
Copper miners,1,0.49499999999999994,0.25416666666666665,0.030297262497900768,0
Silver,1,0.23500000000000007,0.24750000000000003,-0.010822094449213338,0
Broad commodities,1,0.55,0.22750000000000004,0.07167684203433944,0
Oil,1,0.49000000000000005,0.22416666666666668,0.11167239904908022,0
Short US treasuries,1,0.485,0.20916666666666667,-0.0001072602168682435,0
UK gilts,1,0.44500000000000006,0.2058333333333333,-0.012453790143584054,0
Global equities,1,0.525,0.15333333333333332,-0.007785361440928784,0
US large cap,1,0.5800000000000001,0.14583333333333331,-0.0010631549053322642,0
US technology,1,0.455,0.0708333333333333,-0.0194520547945205,0
Clean energy,1,0.09500000000000001,0.03,-0.10697538100820636,0
Nasdaq/technology,1,0.30000000000000004,0.025833333333333326,-0.058077927811913566,0
Semiconductors,2,0.2775000000000001,0.01291666666666667,-0.041876596579312864,0
Japan,1,0.35500000000000004,-0.0941666666666667,-0.041486257990755226,0
