theme,instruments,avg_momentum,avg_emerging,top_1m_return,new_60d_highs
UK dividend,1,0.75,0.7525,0.04565561418886599,1
UK large cap,1,0.64,0.615,0.018148413426298582,0
US financials,1,0.78,0.5599999999999999,0.06692655685469662,1
Defence,1,0.385,0.42333333333333334,-0.02516221217190906,0
Silver,1,0.24499999999999997,0.285,-0.15581706409112173,0
Short US treasuries,1,0.42,0.265,0.0020421381780206804,0
Broad commodities,1,0.35,0.25083333333333335,-0.08215784100039403,0
Gold,1,0.29500000000000004,0.24749999999999997,-0.0628580275584456,0
Global equities,1,0.6699999999999999,0.2425,0.0021162744313125703,0
US large cap,1,0.63,0.23500000000000001,-0.0025285033036336335,0
Japan,1,0.655,0.21250000000000005,0.018842162752594316,0
UK gilts,1,0.45500000000000007,0.205,0.01170353066346852,0
Oil,1,0.15499999999999997,0.15333333333333332,-0.19455240563393084,0
US energy,1,0.17000000000000004,0.10083333333333333,-0.09556731870220869,0
US technology,1,0.595,0.07416666666666667,-0.048717284270536454,0
Copper miners,1,0.36999999999999994,0.0708333333333333,-0.056950851937797364,0
Clean energy,1,0.33,0.0033333333333333062,-0.11267967145790558,0
Nasdaq/technology,1,0.5700000000000001,-0.0008333333333333387,-0.018901589307875222,0
Semiconductors,2,0.49250000000000005,-0.006249999999999988,0.014927099467018978,0
